2026-02-10 16:44:34,107 - INFO - Initializing Admin Coverage Check...
2026-02-10 16:44:34,107 - INFO - loading canonical boundaries...
2026-02-10 16:44:34,298 - INFO - Loaded KEN boundaries: 290 regions
2026-02-10 16:44:34,309 - INFO - Loaded SOM boundaries: 118 regions
2026-02-10 16:44:34,331 - INFO - Loaded ETH boundaries: 74 regions
2026-02-10 16:44:34,331 - INFO - Loaded 482 canonical Admin2 regions.
2026-02-10 16:44:34,331 - INFO - --- Checking Price Data ---
2026-02-10 16:44:37,564 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0019.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0019.parquet'
2026-02-10 16:44:37,564 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/admin_agg.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/admin_agg.parquet'
2026-02-10 16:44:37,564 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0010.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0010.parquet'
2026-02-10 16:44:37,564 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0000.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0000.parquet'
2026-02-10 16:44:37,564 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0002.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0002.parquet'
2026-02-10 16:44:37,564 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0012.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0012.parquet'
2026-02-10 16:44:37,564 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0013.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0013.parquet'
2026-02-10 16:44:37,564 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0003.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0003.parquet'
2026-02-10 16:44:37,564 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0020.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0020.parquet'
2026-02-10 16:44:37,564 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0006.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0006.parquet'
2026-02-10 16:44:37,564 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0016.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0016.parquet'
2026-02-10 16:44:37,565 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0017.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0017.parquet'
2026-02-10 16:44:37,565 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0007.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0007.parquet'
2026-02-10 16:44:37,565 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0021.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0021.parquet'
2026-02-10 16:44:37,565 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0005.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0005.parquet'
2026-02-10 16:44:37,565 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0015.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0015.parquet'
2026-02-10 16:44:37,565 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0022.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0022.parquet'
2026-02-10 16:44:37,565 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0014.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0014.parquet'
2026-02-10 16:44:37,565 - WARNING - Failed to read /Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0004.parquet: [Errno 1] Operation not permitted: '/Users/halimjun/Coding_local/price_prediction_clean/data/crop_mask/admin_mapped/part_0004.parquet'
Price Source Regions: 73
Matched: 54
Unmatched: 19
