target,horizon,spatial_fold,temporal_fold,n_train,n_val,rmse,mae,mape,r2,n,KEN_mape,SOM_mape
c_sorghum,2,3,0,5487,2448,10433.604648025015,6435.717939425202,0.25268899549264,0.06058229404120563,2448,,0.25268899549264
c_sorghum,2,3,1,11067,1428,12403.035110168517,8140.40014198453,0.2666418462909895,-0.11611175035231991,1428,,0.2666418462909895
c_sorghum,2,3,2,16647,408,12278.44712052746,8517.131190640317,0.22424210148453935,0.17673933130096797,408,,0.22424210148453935
c_sorghum,2,4,0,5664,2016,4199.467132411776,2260.1725924440416,0.13655986422305735,0.6447800795725179,2016,,0.13655986422305735
c_sorghum,2,4,1,11424,1176,4589.053579948055,2503.405144217355,0.13094747374112736,0.6416453469700261,1176,,0.13094747374112736
c_sorghum,2,4,2,17184,336,3549.290628742581,2524.908993326823,0.12056263584450373,0.8538524486172713,336,,0.12056263584450373
c_sorghum,3,0,0,4248,5472,1208.1280747051132,732.9098211877678,0.11743670309287316,0.7531011073034062,5472,0.11545733888722048,0.1530652587946212
c_sorghum,3,0,1,8568,3192,1470.4359282088938,1009.2425919935996,0.15423745432620453,0.7113678623925397,3192,0.1533067745942721,0.17098968950098845
c_sorghum,3,0,2,12888,912,1261.0246054069112,827.361292200975,0.09253647128358745,0.8223278710500919,912,0.08951332688704673,0.14695307042132036
c_sorghum,3,1,0,4661,4464,3454.198964908366,1816.4828931429738,0.15515350265538547,0.7298973487698476,4464,0.08795248273196987,0.18264482898769183
c_sorghum,3,1,1,9401,2604,3720.560374670996,2049.177642685382,0.1556676556201141,0.757088209121791,2604,0.09583337664436539,0.18014531520110216
c_sorghum,3,1,2,14141,744,4168.057711612022,2598.2346638209847,0.1676896736743328,0.756499810205022,744,0.1205944242700202,0.1869559120670061
c_sorghum,3,2,0,3953,6192,822.6865770465031,520.925275212604,0.09860463469333582,0.679949655148591,6192,0.09860463469333582,
c_sorghum,3,2,1,7973,3612,1030.5967217522764,712.8129654898564,0.12915556847542284,0.5400763849288275,3612,0.12915556847542284,
c_sorghum,3,2,2,11993,1032,770.4414368573179,607.959100946666,0.08552904981108181,0.46612679546704416,1032,0.08552904981108181,
c_sorghum,3,3,0,5487,2448,11442.95273145869,7594.163612363727,0.31138350529976183,-0.12996813520609862,2448,,0.31138350529976183
c_sorghum,3,3,1,11067,1428,12758.701990635172,8544.341355247176,0.28615416368894425,-0.18104031173373691,1428,,0.28615416368894425
c_sorghum,3,3,2,16647,408,13420.736799157328,9474.31788440181,0.2551980287679745,0.01643470197278396,408,,0.2551980287679745
c_sorghum,3,4,0,5664,2016,4922.128424701992,2899.1234024386936,0.173385717924059,0.5120056192025493,2016,,0.173385717924059
c_sorghum,3,4,1,11424,1176,5325.114220818606,3183.829391234521,0.16923646194242908,0.5174696369687256,1176,,0.16923646194242908
c_sorghum,3,4,2,17184,336,4313.434730556499,3248.0400513857885,0.1590315435137666,0.7841485948147859,336,,0.1590315435137666
